ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Sale price","Regular price",Categories,Tags,Images,Stock,"Backorders allowed?","Weight (kg)"
26,simple,SHOE-0026,"Converse Chuck 70",1,0,visible,"Phiên bản premium, đệm tốt hơn","Phiên bản premium, đệm tốt hơn. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",1690000,1990000,"Giày Sneaker","Giảm giá",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-7.jpg,50,0,0.8
27,simple,SHOE-0027,"Vans Old Skool",1,0,visible,"Side stripe biểu tượng, canvas bền","Side stripe biểu tượng, canvas bền. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",1490000,1790000,"Giày Sneaker","Giảm giá",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-6.jpg,50,0,0.8
28,simple,SHOE-0028,"Reebok Classic Leather",1,0,visible,"Da mềm, phong cách retro","Da mềm, phong cách retro. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",1890000,2290000,"Giày Sneaker","Giảm giá",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-7.jpg,50,0,0.8
29,simple,SHOE-0029,"Nike Blazer Mid 77",1,0,visible,"Cổ mid vintage, da premium","Cổ mid vintage, da premium. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",2490000,2890000,"Giày Sneaker","Giảm giá",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-6.jpg,50,0,0.8
30,simple,SHOE-0030,"Nike LeBron 21",1,1,visible,"Zoom Air đôi, Cushlon 3.0","Zoom Air đôi, Cushlon 3.0. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",4990000,5490000,"Giày Bóng Rổ","Giảm giá, Bán chạy",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-8.jpg,50,0,0.8
31,simple,SHOE-0031,"Nike KD 17",1,1,visible,"Nhẹ, linh hoạt, Zoom Strobel","Nhẹ, linh hoạt, Zoom Strobel. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",3990000,4490000,"Giày Bóng Rổ","Giảm giá, Bán chạy",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-7.jpg,50,0,0.8
32,simple,SHOE-0032,"Nike Giannis Immortality 4",1,0,visible,"Bền bỉ, grip tốt sân outdoor","Bền bỉ, grip tốt sân outdoor. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",2490000,2890000,"Giày Bóng Rổ","Giảm giá, Bán chạy",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-6.jpg,50,0,0.8
33,simple,SHOE-0033,"Nike Ja 2",1,0,visible,"Nhẹ nhất dòng signature","Nhẹ nhất dòng signature. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",2690000,3090000,"Giày Bóng Rổ","Giảm giá",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-6.jpg,50,0,0.8
34,simple,SHOE-0034,"Adidas Harden Vol 8",1,0,visible,"Boost đệm, traction tốt","Boost đệm, traction tốt. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",3490000,3990000,"Giày Bóng Rổ","Giảm giá",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-9.jpg,50,0,0.8
35,simple,SHOE-0035,"Adidas AE 1",1,0,visible,"Anthony Edwards, nhẹ và nhanh","Anthony Edwards, nhẹ và nhanh. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",3290000,3690000,"Giày Bóng Rổ","Giảm giá",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-6.jpg,50,0,0.8
36,simple,SHOE-0036,"Adidas D.O.N. Issue 5",1,0,visible,"Lightstrike, đa năng","Lightstrike, đa năng. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",2490000,2890000,"Giày Bóng Rổ","Giảm giá",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-6.jpg,50,0,0.8
37,simple,SHOE-0037,"New Balance TWO WXY v4",1,0,visible,"FuelCell, grip sân trong","FuelCell, grip sân trong. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",2990000,3490000,"Giày Bóng Rổ","Giảm giá",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-5.jpg,50,0,0.8
38,simple,SHOE-0038,"Puma MB.03",1,0,visible,"LaMelo Ball, Nitro Foam","LaMelo Ball, Nitro Foam. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",3290000,3690000,"Giày Bóng Rổ","Giảm giá",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-1.jpg,50,0,0.8
39,simple,SHOE-0039,"Under Armour Curry 11",1,0,visible,"Flow đế liền, nhẹ nhất","Flow đế liền, nhẹ nhất. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",3990000,4490000,"Giày Bóng Rổ","Giảm giá",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-9.jpg,50,0,0.8
40,simple,SHOE-0040,"Jordan Luka 3",1,0,visible,"Phản hồi tốt, ổn định cao","Phản hồi tốt, ổn định cao. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",3490000,3990000,"Giày Bóng Rổ","Giảm giá",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-8.jpg,50,0,0.8
41,simple,SHOE-0041,"Jordan Tatum 3",1,0,visible,"Nhẹ, nhanh cho guard","Nhẹ, nhanh cho guard. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",2890000,3290000,"Giày Bóng Rổ","Giảm giá",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-7.jpg,50,0,0.8
42,simple,SHOE-0042,"Nike Book 1",1,0,visible,"Devin Booker, Air Zoom","Devin Booker, Air Zoom. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",3290000,3690000,"Giày Bóng Rổ","Giảm giá",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-7.jpg,50,0,0.8
43,simple,SHOE-0043,"Nike Mercurial Superfly 10 Elite FG",1,1,visible,"Tốc độ tối đa, Vaporposite+","Tốc độ tối đa, Vaporposite+. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",5990000,6490000,"Giày Đá Bóng","Giảm giá, Bán chạy",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-1.jpg,50,0,0.8
44,simple,SHOE-0044,"Nike Mercurial Vapor 16 Elite FG",1,1,visible,"Nhẹ, bám sân tự nhiên","Nhẹ, bám sân tự nhiên. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",5490000,5990000,"Giày Đá Bóng","Giảm giá, Bán chạy",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-9.jpg,50,0,0.8
45,simple,SHOE-0045,"Nike Phantom GX 2 Elite FG",1,0,visible,"Kiểm soát bóng, Gripknit","Kiểm soát bóng, Gripknit. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",5290000,5790000,"Giày Đá Bóng","Giảm giá, Bán chạy",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-8.jpg,50,0,0.8
46,simple,SHOE-0046,"Nike Tiempo Legend 10 Elite FG",1,0,visible,"Da Kangaroo mềm mại","Da Kangaroo mềm mại. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",4990000,5490000,"Giày Đá Bóng","Giảm giá",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-8.jpg,50,0,0.8
47,simple,SHOE-0047,"Adidas Predator Elite FG",1,0,visible,"Hybridskin kiểm soát","Hybridskin kiểm soát. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",5490000,5990000,"Giày Đá Bóng","Giảm giá",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-1.jpg,50,0,0.8
48,simple,SHOE-0048,"Adidas X Crazyfast Elite FG",1,0,visible,"Siêu nhẹ, Speedframe","Siêu nhẹ, Speedframe. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",4990000,5490000,"Giày Đá Bóng","Giảm giá",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-10.jpg,50,0,0.8
49,simple,SHOE-0049,"Adidas Copa Pure 2 Elite FG",1,0,visible,"Da K-Leather cao cấp","Da K-Leather cao cấp. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",4690000,5190000,"Giày Đá Bóng","Giảm giá",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-2.jpg,50,0,0.8
50,simple,SHOE-0050,"Puma Future 7 Ultimate FG",1,0,visible,"FUZIONFIT+, sáng tạo","FUZIONFIT+, sáng tạo. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",4490000,4990000,"Giày Đá Bóng","Giảm giá",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-3.jpg,50,0,0.8
51,simple,SHOE-0051,"Puma King Ultimate FG",1,0,visible,"Da K-Leather, classic","Da K-Leather, classic. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",3990000,4490000,"Giày Đá Bóng","Giảm giá",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-6.jpg,50,0,0.8
52,simple,SHOE-0052,"Mizuno Alpha Elite FG",1,0,visible,"Da Kangaroo Nhật Bản","Da Kangaroo Nhật Bản. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",4290000,4790000,"Giày Đá Bóng","Giảm giá",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-10.jpg,50,0,0.8
53,simple,SHOE-0053,"Nike Mercurial Vapor 16 Academy FG",1,0,visible,"Phiên bản phổ thông","Phiên bản phổ thông. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",1890000,2290000,"Giày Đá Bóng","Giảm giá",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-7.jpg,50,0,0.8
54,simple,SHOE-0054,"Adidas Predator Accuracy.3 FG",1,0,visible,"Tầm trung, grip tốt","Tầm trung, grip tốt. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",1690000,1990000,"Giày Đá Bóng","Giảm giá",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-7.jpg,50,0,0.8
55,simple,SHOE-0055,"Adidas X Crazyfast.3 FG",1,0,visible,"Nhẹ, giá tốt","Nhẹ, giá tốt. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",1490000,1790000,"Giày Đá Bóng","Giảm giá",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-1.jpg,50,0,0.8
56,simple,SHOE-0056,"Nike Victori One Slide",1,1,visible,"Dép quai ngang, đệm mềm","Dép quai ngang, đệm mềm. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",790000,990000,"Dép & Sandal","Giảm giá, Bán chạy",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-5.jpg,50,0,0.3
57,simple,SHOE-0057,"Nike Calm Slide",1,1,visible,"Thiết kế pillow, siêu êm","Thiết kế pillow, siêu êm. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",1190000,1490000,"Dép & Sandal","Giảm giá, Bán chạy",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-4.jpg,50,0,0.3
58,simple,SHOE-0058,"Nike Offline Pack Mule",1,0,visible,"Dép sục thoải mái","Dép sục thoải mái. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",1490000,1790000,"Dép & Sandal","Giảm giá, Bán chạy",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-9.jpg,50,0,0.3
59,simple,SHOE-0059,"Adidas Adilette Comfort",1,0,visible,"Cloudfoam êm ái","Cloudfoam êm ái. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",890000,1090000,"Dép & Sandal","Giảm giá",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-10.jpg,50,0,0.3
60,simple,SHOE-0060,"Adidas Adilette 22",1,0,visible,"Thiết kế tương lai, EVA","Thiết kế tương lai, EVA. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",990000,1190000,"Dép & Sandal","Giảm giá",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-4.jpg,50,0,0.3
61,simple,SHOE-0061,"New Balance 200 Slide",1,0,visible,"Quai ngang CUSH+","Quai ngang CUSH+. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",690000,890000,"Dép & Sandal","Giảm giá",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-4.jpg,50,0,0.3
62,simple,SHOE-0062,"Crocs Classic Clog",1,0,visible,"Croslite siêu nhẹ, đa năng","Croslite siêu nhẹ, đa năng. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",990000,1290000,"Dép & Sandal","Giảm giá",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-10.jpg,50,0,0.3
63,simple,SHOE-0063,"Crocs Classic Slide",1,0,visible,"Quai rộng, thoải mái","Quai rộng, thoải mái. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",790000,990000,"Dép & Sandal","Giảm giá",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-4.jpg,50,0,0.3
64,simple,SHOE-0064,"Birkenstock Arizona",1,0,visible,"Da Birko-Flor, đế cork","Da Birko-Flor, đế cork. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",2290000,2690000,"Dép & Sandal","Giảm giá",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-9.jpg,50,0,0.3
65,simple,SHOE-0065,"Birkenstock Boston Clog",1,0,visible,"Suede, phong cách sục","Suede, phong cách sục. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",2890000,3290000,"Dép & Sandal","Giảm giá",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-2.jpg,50,0,0.3
66,simple,SHOE-0066,"Puma Leadcat 2.0 Slide",1,0,visible,"Quai ngang thể thao","Quai ngang thể thao. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",590000,790000,"Dép & Sandal","Giảm giá",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-10.jpg,50,0,0.3
67,simple,SHOE-0067,"Havaianas Top",1,0,visible,"Dép kẹp Brazil chính hãng","Dép kẹp Brazil chính hãng. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",490000,590000,"Dép & Sandal","Giảm giá",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-5.jpg,50,0,0.3
68,simple,SHOE-0068,"Teva Hurricane XLT2",1,0,visible,"Sandal outdoor bền bỉ","Sandal outdoor bền bỉ. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",1490000,1890000,"Dép & Sandal","Giảm giá",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-5.jpg,50,0,0.3
69,simple,SHOE-0069,"Nike Air Jordan 1 Mid",1,1,visible,"Phong cách streetwear","Phong cách streetwear. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",3290000,3690000,"Giày Thời Trang","Giảm giá, Bán chạy",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-1.jpg,50,0,0.8
70,simple,SHOE-0070,"Nike Air Jordan 1 Low",1,1,visible,"Dáng thấp dễ phối đồ","Dáng thấp dễ phối đồ. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",2890000,3290000,"Giày Thời Trang","Giảm giá, Bán chạy",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-8.jpg,50,0,0.8
71,simple,SHOE-0071,"Nike Air Jordan 4 Retro",1,0,visible,"Iconic 90s, mesh + da","Iconic 90s, mesh + da. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",5490000,5990000,"Giày Thời Trang","Giảm giá, Bán chạy",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-10.jpg,50,0,0.8
72,simple,SHOE-0072,"Adidas Forum Low",1,0,visible,"Retro bóng rổ 80s","Retro bóng rổ 80s. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",2490000,2890000,"Giày Thời Trang","Giảm giá",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-3.jpg,50,0,0.8
73,simple,SHOE-0073,"Adidas NMD R1",1,0,visible,"Phong cách tương lai, Boost","Phong cách tương lai, Boost. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",3290000,3690000,"Giày Thời Trang","Giảm giá",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-7.jpg,50,0,0.8
